kode,nama
18.01,KAB. LAMPUNG SELATAN
18.02,KAB. LAMPUNG TENGAH
18.03,KAB. LAMPUNG UTARA
18.04,KAB. LAMPUNG BARAT
18.05,KAB. TULANG BAWANG
18.06,KAB. TANGGAMUS
18.07,KAB. LAMPUNG TIMUR
18.08,KAB. WAY KANAN
18.09,KAB. PESAWARAN
18.10,KAB. PRINGSEWU
18.11,KAB. MESUJI
18.12,KAB. TULANG BAWANG BARAT
18.13,KAB. PESISIR BARAT
18.71,KOTA BANDAR LAMPUNG
18.72,KOTA METRO
31.01,KAB. ADM. KEP. SERIBU
31.71,KOTA ADM. JAKARTA PUSAT
31.72,KOTA ADM. JAKARTA UTARA
31.73,KOTA ADM. JAKARTA BARAT
31.74,KOTA ADM. JAKARTA SELATAN
31.75,KOTA ADM. JAKARTA TIMUR
51.01,KAB. JEMBRANA
51.02,KAB. TABANAN
51.03,KAB. BADUNG
51.04,KAB. GIANYAR
51.05,KAB. KLUNGKUNG
51.06,KAB. BANGLI
51.07,KAB. KARANGASEM
51.08,KAB. BULELENG
51.71,KOTA DENPASAR
