kabkota_code,kabkota_name,week_start_date,t_mean,t_min,t_max,hu_mean,ws_mean,tcc_mean,rain_hours,rain_frac,hours
18.01,KAB. LAMPUNG SELATAN,2024-08-19,26.86,25.25,28.46,81.4,8.38,63.5,28,0.1667,168
18.01,KAB. LAMPUNG SELATAN,2024-08-26,26.79,25.06,28.51,76.44,8.63,47.6,16,0.0952,168
18.01,KAB. LAMPUNG SELATAN,2024-09-02,27.08,25.28,28.71,75.73,7.89,48.82,40,0.2381,168
18.01,KAB. LAMPUNG SELATAN,2024-09-09,26.48,24.85,28.08,74.38,6.74,49.1,22,0.131,168
18.01,KAB. LAMPUNG SELATAN,2024-09-16,26.65,25.09,28.44,79.88,8.18,36.86,17,0.1012,168
18.01,KAB. LAMPUNG SELATAN,2024-09-23,26.41,24.77,28.15,73.66,7.19,45.22,13,0.0774,168
18.01,KAB. LAMPUNG SELATAN,2024-09-30,26.62,24.82,28.13,77.48,6.92,53.25,15,0.0893,168
18.01,KAB. LAMPUNG SELATAN,2024-10-07,26.86,25.16,28.45,80.18,5.87,44.9,8,0.0476,168
18.01,KAB. LAMPUNG SELATAN,2024-10-14,27.49,25.73,29.02,80.11,6.96,37.83,21,0.125,168
18.01,KAB. LAMPUNG SELATAN,2024-10-21,26.22,24.71,27.99,77.63,6.48,40.11,13,0.0774,168
18.01,KAB. LAMPUNG SELATAN,2024-10-28,26.73,25.02,28.52,78.76,6.17,46.14,18,0.1071,168
18.01,KAB. LAMPUNG SELATAN,2024-11-04,27.05,25.42,28.61,79.01,7.98,41.97,16,0.0952,168
18.01,KAB. LAMPUNG SELATAN,2024-11-11,26.94,25.32,28.6,79.88,7.72,48.46,19,0.1131,168
18.01,KAB. LAMPUNG SELATAN,2024-11-18,26.73,25.16,28.49,76.27,7.39,47.56,15,0.0893,168
18.01,KAB. LAMPUNG SELATAN,2024-11-25,26.55,24.87,28.29,81.27,8.86,54.72,41,0.244,168
18.01,KAB. LAMPUNG SELATAN,2024-12-02,27.49,25.8,29.14,77.4,7.22,56.25,45,0.2679,168
18.01,KAB. LAMPUNG SELATAN,2024-12-09,27.58,25.85,29.18,79.03,8.83,50.18,49,0.2917,168
18.01,KAB. LAMPUNG SELATAN,2024-12-16,27.23,25.49,28.87,79.42,9.0,55.45,53,0.3155,168
18.01,KAB. LAMPUNG SELATAN,2024-12-23,28.7,27.18,30.47,84.5,8.57,55.19,56,0.3333,168
18.01,KAB. LAMPUNG SELATAN,2024-12-30,28.43,26.88,29.94,82.4,10.56,59.39,47,0.2798,168
18.01,KAB. LAMPUNG SELATAN,2025-01-06,28.37,26.78,30.12,84.21,8.54,65.18,76,0.4524,168
18.01,KAB. LAMPUNG SELATAN,2025-01-13,27.43,25.71,28.97,81.63,10.23,62.15,82,0.4881,168
18.01,KAB. LAMPUNG SELATAN,2025-01-20,29.09,27.56,30.66,82.56,9.26,68.09,56,0.3333,168
18.01,KAB. LAMPUNG SELATAN,2025-01-27,28.96,27.18,30.72,83.43,8.77,67.03,97,0.5774,168
18.01,KAB. LAMPUNG SELATAN,2025-02-03,28.76,27.0,30.35,84.21,11.74,69.31,86,0.5119,168
18.01,KAB. LAMPUNG SELATAN,2025-02-10,28.79,27.13,30.49,85.63,10.88,67.77,94,0.5595,168
18.01,KAB. LAMPUNG SELATAN,2025-02-17,28.9,27.39,30.63,84.62,9.99,74.97,93,0.5536,168
18.01,KAB. LAMPUNG SELATAN,2025-02-24,29.46,27.73,31.26,87.39,11.92,65.93,101,0.6012,168
18.01,KAB. LAMPUNG SELATAN,2025-03-03,28.86,27.26,30.6,87.81,10.97,80.57,95,0.5655,168
18.01,KAB. LAMPUNG SELATAN,2025-03-10,29.1,27.48,30.83,86.42,11.43,73.65,97,0.5774,168
18.01,KAB. LAMPUNG SELATAN,2025-03-17,29.49,27.88,31.12,88.78,12.01,70.46,101,0.6012,168
18.01,KAB. LAMPUNG SELATAN,2025-03-24,30.17,28.48,31.8,87.69,9.8,73.39,114,0.6786,168
18.01,KAB. LAMPUNG SELATAN,2025-03-31,29.7,28.18,31.29,86.46,12.11,73.95,106,0.631,168
18.01,KAB. LAMPUNG SELATAN,2025-04-07,29.75,28.08,31.54,89.65,13.38,81.81,91,0.5417,168
18.01,KAB. LAMPUNG SELATAN,2025-04-14,29.17,27.61,30.77,85.96,13.58,72.14,97,0.5774,168
18.01,KAB. LAMPUNG SELATAN,2025-04-21,29.27,27.61,30.96,86.65,11.35,69.75,87,0.5179,168
18.01,KAB. LAMPUNG SELATAN,2025-04-28,29.51,27.9,31.3,84.66,12.44,80.54,93,0.5536,168
18.01,KAB. LAMPUNG SELATAN,2025-05-05,28.71,26.97,30.4,88.62,13.58,72.25,87,0.5179,168
18.01,KAB. LAMPUNG SELATAN,2025-05-12,28.95,27.4,30.72,86.22,12.12,68.6,87,0.5179,168
18.01,KAB. LAMPUNG SELATAN,2025-05-19,28.9,27.34,30.57,83.7,14.22,71.89,88,0.5238,168
18.01,KAB. LAMPUNG SELATAN,2025-05-26,29.4,27.71,31.1,84.42,13.66,62.08,79,0.4702,168
18.01,KAB. LAMPUNG SELATAN,2025-06-02,28.49,26.96,30.27,85.76,13.45,67.82,84,0.5,168
18.01,KAB. LAMPUNG SELATAN,2025-06-09,27.96,26.43,29.68,82.23,10.92,68.45,75,0.4464,168
18.01,KAB. LAMPUNG SELATAN,2025-06-16,27.54,25.82,29.24,83.3,12.28,59.81,64,0.381,168
18.01,KAB. LAMPUNG SELATAN,2025-06-23,28.16,26.41,29.91,80.94,12.96,61.51,49,0.2917,168
18.01,KAB. LAMPUNG SELATAN,2025-06-30,27.67,25.99,29.2,77.5,9.23,59.92,52,0.3095,168
18.01,KAB. LAMPUNG SELATAN,2025-07-07,27.49,25.94,29.18,80.93,11.61,52.58,55,0.3274,168
18.01,KAB. LAMPUNG SELATAN,2025-07-14,27.45,25.8,29.13,82.11,10.31,55.38,52,0.3095,168
18.01,KAB. LAMPUNG SELATAN,2025-07-21,27.47,25.93,28.97,77.18,11.09,52.6,41,0.244,168
18.01,KAB. LAMPUNG SELATAN,2025-07-28,27.16,25.59,28.82,78.19,9.5,57.72,39,0.2321,168
18.01,KAB. LAMPUNG SELATAN,2025-08-04,27.14,25.61,28.67,80.53,9.6,49.39,43,0.256,168
18.01,KAB. LAMPUNG SELATAN,2025-08-11,26.62,24.98,28.36,78.67,9.12,58.14,49,0.2917,168
18.02,KAB. LAMPUNG TENGAH,2024-08-19,26.36,24.68,27.96,79.46,8.16,46.51,16,0.0952,168
18.02,KAB. LAMPUNG TENGAH,2024-08-26,27.55,25.81,29.23,75.18,8.79,48.19,12,0.0714,168
18.02,KAB. LAMPUNG TENGAH,2024-09-02,26.47,24.82,28.1,75.95,6.12,40.52,35,0.2083,168
18.02,KAB. LAMPUNG TENGAH,2024-09-09,26.73,25.0,28.47,78.44,8.05,41.67,13,0.0774,168
18.02,KAB. LAMPUNG TENGAH,2024-09-16,26.62,24.91,28.26,76.43,8.82,48.1,21,0.125,168
18.02,KAB. LAMPUNG TENGAH,2024-09-23,26.73,25.06,28.44,77.75,5.33,47.39,25,0.1488,168
18.02,KAB. LAMPUNG TENGAH,2024-09-30,26.92,25.2,28.62,77.69,7.29,43.14,27,0.1607,168
